OMIE - Mercado de electricidad;;;;;;
Fecha Emisión :05/03/2026 - 14:47;;;;;;LISTADO DE UNIDADES OFERTANTES VIGENTES
;;;;;;
AXPOR01;AXPO SRAD;AXPO IBERIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compra Comercializador Balance
AYLUC01;AYLUZ;AYLUZ COMERCIALIZADORA ELECTRICA S.L;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BALEC01;BALEC01;ELECBALEAR,S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BECOC01;BASSOLS ENERGÍA COMPRA (ESP);BASSOLS ENERGÍA COMERCIAL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BESC01;BESC01;BESPIN ENEGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
BEYOC01;UNIDAD OFERTANTE;LUZIA ENERGIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BEYRM01;REPR RELUZCA;LUZIA ENERGIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
BEYRM02;REPR INDALO;LUZIA ENERGIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
BIROC01;BIROU GAS SL;BIROU GAS SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BNPRC01;BNPRC01;BON PREU, S.A.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BNPRM01;BNPRM01;BON PREU, S.A.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
BNPRM02;BONPREU TERCIARIA;BON PREU, S.A.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compra Comercializador Balance
BOAEC01;UO BOAENERGETICA 2000 S.L;BOAENERGETICA 2000, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BPC01;BP AMOCO GAS (ESP);BP GAS AND POWER IBERIA, S.A.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BPRM01;BP REP 01;BP GAS AND POWER IBERIA, S.A.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
BREIC01;U. OFERTA IBERICA;IBERICA IMPULSA, S.L;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BSGEC01;BSGEA COMPRA;BSG ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
BSGRM01;COMPRA BERL;BSG ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
