CODIGO;TIPO_UNIDAD;TECNOLOGIA;regime;categoria;DESCRIPCION;AGENTE_PROPIETARIO;ZONA_FRONTERA
ADXVD01;GENERACION;RE Mercado Térmica Renovable;PRE;TERMICA_RENOV_ES;AUDAX RENOVABLES VENTA TR;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXVD03;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;PV ALARCOS;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXVD04;GENERACION;RE Mercado Eólica;PRE;EOLICA_ES;EOLICA AUDAX;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXVD05;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;FV GENERIBER;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXVD06;GENERACION;RE Mercado Térmica Renovable;PRE;TERMICA_RENOV_ES;RS GENERIBER;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXVD07;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;T GENERIBER;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
AFIBGEV;GENERACION;Almacenamiento Venta;PRE;ARMAZENAMENTO_VENDA_ES;ALMACENAMIENTO VENTA;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
AGENVD2;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;RE TARIFA CON REPRESENTANTE;AE3000 AGENT COMERCIALITZADOR, S.L.;ZONA ESPAÑOLA
AGERE01;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;VENTA FRAILES;GRUPO ENERGÉTICO ASECOR S.L;ZONA ESPAÑOLA
AGEVD01;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;VENTA PEL CONG;GRUPO ENERGÉTICO ASECOR S.L;ZONA ESPAÑOLA
AGPRCTI;GENERACION;RE Tarifa CUR (uof);PRE;SOLAR_FOT_PT;CENTRO INTERIOR;PETROGAL SA;ZONA PORTUGUESA
AGPRCTL;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;ACTL VENDA;PETROGAL SA;ZONA PORTUGUESA
AGPRSUL;GENERACION;RE Tarifa CUR (uof);PRE;SOLAR_FOT_PT;ASUL VENDA;PETROGAL SA;ZONA PORTUGUESA
AGPRTMD;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;TRÁS-OS-MONTES E DOURO LITORAL;PETROGAL SA;ZONA PORTUGUESA
AGRRE01;GENERACION;RE Mercado Hidráulica;PRE;HIDRICA_ES;AGRRE01;AGRI-ENERGÍA, S.A.;ZONA ESPAÑOLA
AGRRE02;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;VENTA SOLAR FOTOVOLTAICA;AGRI-ENERGÍA, S.A.;ZONA ESPAÑOLA
AGUG;GENERACION;Hidráulica de Bombeo Puro;PRO;BOMBEO_PURO_PRO_ES;C.H. AGUAYO GENERACION;REPSOL SERVICIOS RENOVABLES, S.A.;ZONA ESPAÑOLA
AIGRCTI;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;PT ZONA AIGRCTI;IGNIS ENERGIA S.L.;ZONA PORTUGUESA
AIGRCTL;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;PT ZONA CENTRO-LITORAL;IGNIS ENERGIA S.L.;ZONA PORTUGUESA
AIGRMN4;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;PT 400 KV DO MINHO;IGNIS ENERGIA S.L.;ZONA PORTUGUESA
AIGRTMD;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;PT ZONA AIGRTMD;IGNIS ENERGIA S.L.;ZONA PORTUGUESA
